CompoundID,InChIKey,SMILES,logS,logP,MW
C1711,ACTIUHUUMQJHFO-UPTCCGCDSA-N,COC1=C(OC)C(=O)C(=C(C1=O)C/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)\C)\C)\C)\C)\C)\C)\C)C,-18.21769274,17.8539,863.344
C1712,CQISYTXUORWJSX-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)Nc1ccc(cc1)NC(=O)CCCCCCCCCCCCCCCCC,-17.46845707,14.2326,641.065
C1713,UXPYIAWFQKSHNV-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)OCCCCOC(=O)CCCCCCCCCCCCCCC,-16.25939172,11.8156,566.939
C1714,BDIWFCKBPZPBQT-UHFFFAOYSA-N,CCCC[Sn](S[Sn](CCCC)(CCCC)CCCC)(CCCC)CCCC,-15.67628661,10.4112,612.153
C1715,RNPXCFINMKSQPQ-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCOP(=O)(OCCCCCCCCCCCCCCCC)O,-15.20512017,12.0826,546.846
C1716,FTQWRYSLUYAIRQ-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)NCNC(=O)CCCCCCCCCCCCCCCCC,-14.93986516,12.4811,578.996
C1717,YYGNTYWPHWGJRM-AAJYLUCBSA-N,C/C(=C\CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/CC/C=C(/CCC=C(C)C)\C,-14.59236714,10.605,410.718
C1718,RYROWNOHCUSOKT-UHFFFAOYSA-N,Brc1ccc(nc1)OCCCCCCCCCCNCCSSCCNCCCCCCCCCCOc1ccc(cn1)Br.Cl.Cl,-14.5490503,12.6474,849.694
C1719,SPJCRMJCFSJKDE-ZWBUGVOYSA-N,ClCCN(c1ccc(cc1)CC(=O)O[C@H]1CC[C@]2(C(=CC[C@@H]3[C@@H]2CC[C@]2([C@H]3CC[C@@H]2[C@@H](CCCC(C)C)C)C)C1)C)CCCl,-14.52387178,10.4663,644.797
C1720,MSCCTZZBYHQMQJ-AZAGJHQNSA-N,C[C@@H](CCC[C@]1(C)CCc2c(O1)c(C)c(c(c2C)OC(=O)c1cccnc1)C)CCC[C@@H](CCCC(C)C)C,-13.79857364,9.7488,535.8
C1721,SYKKEUORZVAILP-XPXLQCACSA-N,CCCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCCCCCC)CCCCCCCC.[Cl-],-13.61935865,6.224,545.282
C1722,XVQDYVLXIXMLOS-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCOC(=O)c1ccc(c(c1)N(CCCl)CCCl)C,-13.45141192,9.3072,514.611
C1723,FIAFUQMPZJWCLV-UHFFFAOYSA-N,O=C(Nc1cccc(c1)C(=O)Nc1cc(ccc1C)C(=O)Nc1ccc(c2c1c(cc(c2)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)Nc1cccc(c1)C(=O)Nc1cc(ccc1C)C(=O)Nc1ccc(c2c1c(cc(c2)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O,-13.25629814,13.666,1297.28
C1724,NKNPHSJWQZXWIX-DCVDGXQQSA-N,CC[C@@H]1C[C@H]2CC[C@H](O2)[C@H](C)C(=O)O[C@@H](CC)C[C@@H]2CC[C@@H](O2)[C@@H](C)C(=O)O[C@@H](C[C@@H]2O[C@H]([C@@H](C(=O)O[C@H](C[C@H]3O[C@@H]([C@H](C(=O)O1)C)CC3)CC)C)CC2)CC,-13.1457164,7.5824,793.035
C1725,ZPBNOWWJKRKBEV-YZMZVZPOSA-N,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C2=O)c2C(=O)/C(=C/NOCCCc4ccccc4)/C(=C(c2c(c3C)O)O)NC(=O)/C(=C\C=C\[C@@H]([C@@H]([C@H]([C@H]([C@H]([C@@H]([C@@H]1C)OC(=O)C)C)O)C)O)C)/C,-12.83707405,6.5479,858.969
C1726,SKEVFVQMAFMKEM-DYNGLPSQSA-N,CCCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCCCCC)CCCCCCC.[Cl-],-12.5769707,5.4438,517.229
C1727,ZAKOWWREFLAJOT-CEFNRUSXSA-N,C[C@@H](CCC[C@]1(C)CCc2c(O1)c(C)c(c(c2C)OC(=O)C)C)CCC[C@@H](CCCC(C)C)C,-12.55736392,9.0599,472.743
C1728,VFBJXXJYHWLXRM-UHFFFAOYSA-N,O=C(CCc1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C)OCCSCCOC(=O)CCc1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C,-12.15015633,8.6728,642.929
C1729,GSMFFPAGZVRAPY-VLSXRWFESA-N,CCCCCCCC[NH+](C(=N)c1ccc(c2c1cccc2)OCCCC)CCCCCCCC.[Cl-],-12.05632873,5.0537,503.202
C1730,GOATZYAVXMPVQD-UHFFFAOYSA-N,Brc1cnc(c(c1)Br)OCCCCCNCCSSCCNCCCCCOc1ncc(cc1Br)Br.Cl.Cl,-12.00111017,10.2714,867.22
C1731,PZPPOCZWRGNKIR-PNVYSBBASA-N,OC[C@]12SS[C@]3(N(C1=O)[C@H]1Nc4c([C@]1(C3)[C@@]13C[C@]56N([C@H]3Nc3c1cccc3)C(=O)[C@](SS5)(N(C6=O)C)CO)cccc4)C(=O)N2C,-11.97802288,1.3616,696.84
C1732,MBWXNTAXLNYFJB-NKFFZRIASA-N,C[C@H](CCC[C@@H](CCCC(C)C)C)CCC/C(=C/CC1=C(C)C(=O)c2c(C1=O)cccc2)/C,-11.96104738,9.1576,450.696
C1733,VWZAGCZUPZKTET-UHFFFAOYSA-N,OS(=O)(=O)O.CCCCN(CCCC)CCCOC(=O)c1ccc(cc1)N.CCCCN(CCCC)CCCOC(=O)c1ccc(cc1)N,-11.85315733,9.0262,710.964
C1734,BIADSXOKHZFLSN-YEUOVSOVSA-N,C/C(=C\CCC1[C@](C)(O)CCC2[C@]1(C)CCCC2(C)C)/CC[C@@H]1C(=C)CCCC1(C)C,-11.79334998,8.8692,428.733
C1,ONXPZLFXDMAPRO-UHFFFAOYSA-N,Clc1c(c2c(Cl)c(Cl)c(c(c2Cl)Cl)Cl)c(Cl)c(c(c1Cl)Cl)Cl,-11.62,9.8876,498.658
C1735,AVBZMYRNHKNVAW-DSPABWSOSA-N,CCCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCCCC)CCCCCC.[Cl-],-11.53413709,4.6636,489.176
C1736,FEQOTXWZPMPKGW-UHFFFAOYSA-N,O=C1c2ccccc2c2c3c1ccc(c3ccc2)c1ccc2c3c1cccc3c1c(C2=O)cccc1,-11.53102072,8.0828,458.506
C1737,YKSGNOMLAIJTLT-UHFFFAOYSA-N,O=C1c2ccccc2c2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)c2c(C1=O)cccc2,-11.51331275,8.16,456.49
C1738,ZPACYDRSPFRDHO-ROBAGEODSA-N,C/C(=C\CCC(=O)OC/C=C(/CCC=C(C)C)\C)/CC/C=C(/CCC=C(C)C)\C,-11.4756571,8.4217,400.637
C1739,FYPMFJGVHOHGLL-UHFFFAOYSA-N,CC(Sc1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C)(Sc1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C)C,-11.36117614,9.9083,516.842
C1740,VIQCGTZFEYDQMR-UHFFFAOYSA-N,CCCCCCCCCC(=O)OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(F)(F)F,-11.35885907,7.9405,591.771
C1741,OYIBHXRZSMTHLW-XIDBHWPPSA-N,Clc1ccc2c(c1)/C(=C/CCN1CCCCC1)/c1c(S2)cccc1.Br,-11.32225509,7.0083,436.836
C1742,QEFDFGVDVZTFAK-GGXMVOPNSA-N,CCCCCCCCCCCCCCCCCC(=O)OCC(=O)OC[C@H]([C@@H](c1ccc(cc1)[N+](=O)[O-])O)NC(=O)C(Cl)Cl,-11.31996592,8.1787,647.627
C1743,IDWDXHQLOMJDRU-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)OCC(C(c1ccc(cc1)[N+](=O)[O-])O)NC(=O)C(Cl)Cl,-11.28911114,8.6355,589.591
C1744,WWVAPFRKZMUPHZ-UHFFFAOYSA-N,O=C(Nc1c(I)cc(c(c1I)C(=O)O)I)CCOCCOCCOCCOCCC(=O)Nc1c(I)cc(c(c1I)C(=O)O)I,-11.20897751,6.2804,1287.92
C1745,RCUAUWPBLXTBGM-UHFFFAOYSA-N,CC(=CCN(CCC(c1cccc2c1cccc2)(C(=O)N)CCN(CC=C(C)C)CC=C(C)C)CC=C(C)C)C,-11.027901,8.5122,543.826
